Date,year,month,day,temp,dewp,slp,visib,wdsp,mxpsd,max,min,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tomorrow
1946-02-02,1946.0,2.0,2.0,50.4,38.5,1029.0,13.3,5.3,13.0,60.3,40.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-02-03,1946.0,2.0,3.0,60.8,54.1,1026.0,10.6,11.8,20.0,74.3,53.4,0.0,1.0,0.0,0.0,0.0,0.0
1946-02-04,1946.0,2.0,4.0,64.5,60.3,1023.2,6.1,7.6,14.0,77.4,54.3,1.0,0.0,0.0,0.0,0.0,1.0
1946-02-05,1946.0,2.0,5.0,68.8,65.5,1017.6,5.6,10.7,15.9,78.3,65.3,1.0,1.0,0.0,0.0,0.0,1.0
1946-02-06,1946.0,2.0,6.0,57.2,47.8,1021.1,7.9,7.1,15.0,69.3,49.3,0.0,1.0,0.0,0.0,1.0,0.0
1946-02-07,1946.0,2.0,7.0,53.3,45.9,1024.1,7.0,5.1,14.0,63.3,46.4,0.0,0.0,0.0,0.0,0.0,1.0
1946-02-08,1946.0,2.0,8.0,65.1,62.7,1016.9,4.7,10.0,16.9,72.3,58.3,1.0,1.0,0.0,0.0,0.0,0.0
1946-02-09,1946.0,2.0,9.0,69.0,68.2,1013.2,4.5,6.0,7.0,70.3,68.4,1.0,0.0,0.0,0.0,0.0,0.0
1946-07-28,1946.0,7.0,28.0,85.9,73.8,1015.5,10.4,3.6,6.0,95.4,76.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-07-29,1946.0,7.0,29.0,84.7,75.7,1014.1,7.9,4.8,12.0,97.3,76.3,1.0,0.0,0.0,0.0,0.0,1.0
1946-07-30,1946.0,7.0,30.0,82.9,75.4,1010.5,11.9,7.1,15.9,90.3,77.4,0.0,1.0,0.0,0.0,1.0,1.0
1946-07-31,1946.0,7.0,31.0,78.0,73.6,1011.2,6.9,4.9,9.9,86.4,72.3,1.0,1.0,0.0,0.0,1.0,1.0
1946-08-01,1946.0,8.0,1.0,78.7,73.6,1016.0,10.0,6.1,15.9,87.3,74.3,1.0,1.0,0.0,0.0,0.0,0.0
1946-08-02,1946.0,8.0,2.0,82.2,74.6,1017.5,10.7,5.3,13.0,92.3,74.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-03,1946.0,8.0,3.0,84.1,74.9,1016.2,14.2,7.2,15.9,94.3,76.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-08-04,1946.0,8.0,4.0,83.1,75.6,1015.5,13.4,6.9,15.0,93.4,76.3,0.0,1.0,0.0,0.0,1.0,0.0
1946-08-05,1946.0,8.0,5.0,84.2,75.3,1015.1,12.4,6.9,13.0,95.4,76.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-06,1946.0,8.0,6.0,83.8,73.6,1013.8,12.5,8.0,14.0,95.4,75.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-07,1946.0,8.0,7.0,84.6,74.9,1012.9,11.1,7.1,12.0,97.3,74.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-08,1946.0,8.0,8.0,84.2,75.3,1014.2,10.3,7.8,15.9,95.4,73.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-09,1946.0,8.0,9.0,84.1,74.6,1014.7,9.7,5.8,13.0,98.2,74.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-10,1946.0,8.0,10.0,83.6,73.8,1015.1,11.3,4.6,11.1,96.3,73.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-11,1946.0,8.0,11.0,83.8,73.7,1015.5,12.1,4.8,16.9,96.3,74.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-12,1946.0,8.0,12.0,83.9,74.2,1015.6,7.9,5.2,15.0,93.4,77.4,1.0,0.0,0.0,0.0,1.0,0.0
1946-08-13,1946.0,8.0,13.0,84.0,74.5,1014.4,9.5,5.5,14.0,96.3,75.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-14,1946.0,8.0,14.0,84.6,74.6,1014.5,13.0,7.0,15.9,94.3,76.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-08-15,1946.0,8.0,15.0,83.6,75.2,1016.2,9.9,6.2,14.0,92.3,77.4,0.0,1.0,0.0,0.0,0.0,1.0
1946-08-16,1946.0,8.0,16.0,84.5,75.1,1018.3,10.7,4.9,11.1,93.4,77.4,0.0,1.0,0.0,0.0,0.0,0.0
1946-08-17,1946.0,8.0,17.0,83.4,75.0,1017.5,10.6,5.1,12.0,92.3,75.4,0.0,0.0,0.0,0.0,1.0,0.0
1946-08-18,1946.0,8.0,18.0,84.6,75.1,1015.9,11.1,4.5,9.9,94.3,76.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-19,1946.0,8.0,19.0,84.2,73.7,1015.6,14.4,5.1,8.9,95.4,75.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-20,1946.0,8.0,20.0,84.5,69.3,1016.2,11.3,7.4,15.9,93.4,76.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-21,1946.0,8.0,21.0,80.6,61.9,1016.4,10.6,8.2,15.9,90.3,68.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-22,1946.0,8.0,22.0,78.7,62.4,1016.0,10.7,7.0,9.9,90.3,66.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-08-23,1946.0,8.0,23.0,80.3,70.1,1014.9,10.3,8.7,15.0,89.2,71.2,0.0,0.0,0.0,0.0,0.0,1.0
1946-08-24,1946.0,8.0,24.0,80.9,73.7,1015.4,10.9,6.7,19.0,87.3,74.3,0.0,1.0,0.0,0.0,1.0,1.0
1946-08-25,1946.0,8.0,25.0,81.7,74.0,1014.8,11.7,6.7,26.0,90.3,75.4,0.0,1.0,0.0,0.0,1.0,1.0
1946-08-26,1946.0,8.0,26.0,80.7,74.5,1015.0,9.8,5.0,12.0,93.4,74.3,0.0,1.0,0.0,0.0,1.0,1.0
1946-08-27,1946.0,8.0,27.0,78.9,75.1,1013.9,7.8,4.4,8.9,85.3,75.4,0.0,1.0,0.0,0.0,1.0,0.0
1946-08-28,1946.0,8.0,28.0,83.4,75.6,1012.2,9.2,5.7,12.0,97.3,74.3,1.0,0.0,0.0,0.0,0.0,1.0
1946-08-29,1946.0,8.0,29.0,78.7,75.2,1013.7,7.7,6.2,15.9,87.3,71.2,1.0,1.0,0.0,0.0,1.0,1.0
1946-08-30,1946.0,8.0,30.0,74.7,72.3,1016.3,7.9,6.9,14.0,78.3,70.3,1.0,1.0,0.0,0.0,1.0,0.0
1946-08-31,1946.0,8.0,31.0,75.3,68.4,1016.4,9.1,8.6,15.9,82.4,70.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-09-01,1946.0,9.0,1.0,76.2,70.8,1016.1,10.0,7.7,13.0,83.3,72.3,0.0,1.0,0.0,0.0,1.0,0.0
1946-09-02,1946.0,9.0,2.0,78.4,73.2,1016.5,7.5,5.8,15.9,86.4,72.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-09-03,1946.0,9.0,3.0,80.7,71.1,1016.4,8.3,4.6,8.9,89.2,73.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-09-04,1946.0,9.0,4.0,81.0,71.1,1015.9,7.8,4.9,9.9,90.3,72.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-09-05,1946.0,9.0,5.0,81.5,71.8,1016.4,7.2,5.3,13.0,91.2,73.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-09-06,1946.0,9.0,6.0,81.0,72.5,1016.6,10.1,6.7,12.0,89.2,74.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-09-07,1946.0,9.0,7.0,80.0,71.7,1015.6,9.2,10.0,21.0,87.3,73.4,1.0,0.0,0.0,0.0,0.0,1.0
1946-09-08,1946.0,9.0,8.0,76.8,70.3,1014.7,9.8,7.3,15.9,86.4,70.3,0.0,1.0,0.0,0.0,1.0,0.0
1946-09-09,1946.0,9.0,9.0,80.4,73.4,1015.2,9.0,5.3,8.9,91.2,73.4,0.0,0.0,0.0,0.0,1.0,0.0
1946-09-10,1946.0,9.0,10.0,82.0,74.1,1015.5,6.1,3.3,8.9,95.4,73.4,1.0,0.0,0.0,0.0,0.0,0.0
1946-09-11,1946.0,9.0,11.0,82.9,74.2,1016.2,8.3,4.3,8.9,94.3,74.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-09-12,1946.0,9.0,12.0,82.0,73.4,1015.5,9.3,5.0,9.9,92.3,74.3,0.0,1.0,0.0,0.0,1.0,0.0
1946-09-13,1946.0,9.0,13.0,77.7,66.9,1015.8,10.7,8.4,11.1,87.3,70.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-09-14,1946.0,9.0,14.0,74.6,64.6,1015.2,9.0,8.2,15.9,81.3,70.3,0.0,1.0,0.0,0.0,0.0,1.0
1946-09-15,1946.0,9.0,15.0,72.6,67.1,1014.0,6.8,7.4,15.9,82.4,68.4,1.0,1.0,0.0,0.0,0.0,0.0
1946-09-16,1946.0,9.0,16.0,76.8,69.9,1012.4,9.5,7.1,14.0,87.3,70.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-09-17,1946.0,9.0,17.0,77.3,70.9,1012.2,10.8,9.8,12.0,86.4,70.3,1.0,0.0,0.0,0.0,1.0,1.0
1946-09-18,1946.0,9.0,18.0,76.2,71.5,1014.4,9.1,9.4,14.0,83.3,73.4,0.0,1.0,0.0,0.0,0.0,0.0
1946-09-19,1946.0,9.0,19.0,76.9,71.4,1014.2,8.2,8.1,12.0,84.4,72.3,1.0,0.0,0.0,0.0,0.0,0.0
1946-09-20,1946.0,9.0,20.0,77.5,71.2,1012.5,7.9,7.5,9.9,86.4,71.2,0.0,0.0,0.0,0.0,0.0,1.0
1946-09-21,1946.0,9.0,21.0,78.6,73.0,1007.9,8.8,5.7,14.0,90.3,73.4,0.0,1.0,0.0,0.0,1.0,1.0
1946-09-22,1946.0,9.0,22.0,74.5,73.3,1005.3,7.8,8.2,19.0,78.3,70.3,0.0,1.0,0.0,0.0,1.0,0.0
1946-09-23,1946.0,9.0,23.0,75.9,73.2,1010.1,5.4,5.8,15.0,84.4,71.2,1.0,0.0,0.0,0.0,1.0,0.0
1946-09-24,1946.0,9.0,24.0,75.5,71.6,1017.1,6.5,7.4,14.0,84.4,70.3,0.0,0.0,0.0,0.0,1.0,1.0
1946-09-25,1946.0,9.0,25.0,77.0,74.2,1017.8,7.1,4.3,9.9,84.4,74.3,1.0,1.0,0.0,0.0,1.0,1.0
1946-09-26,1946.0,9.0,26.0,75.2,73.6,1015.5,4.3,4.5,8.0,80.2,72.3,1.0,1.0,0.0,0.0,0.0,1.0
1946-09-27,1946.0,9.0,27.0,75.6,74.0,1011.5,6.8,7.7,16.9,81.3,72.3,0.0,1.0,0.0,0.0,1.0,1.0
1946-09-28,1946.0,9.0,28.0,74.8,73.4,1010.7,8.7,9.5,18.1,78.3,72.3,0.0,1.0,0.0,0.0,0.0,1.0
1946-09-29,1946.0,9.0,29.0,75.4,72.6,1013.5,7.7,11.4,15.9,80.2,73.4,0.0,1.0,0.0,0.0,0.0,0.0
1946-09-30,1946.0,9.0,30.0,73.9,67.6,1017.5,9.9,13.6,18.1,80.2,70.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-10-01,1946.0,10.0,1.0,66.3,53.3,1019.4,12.0,11.8,18.1,75.4,55.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-10-02,1946.0,10.0,2.0,65.0,55.3,1017.4,10.1,8.3,12.0,78.3,53.4,0.0,0.0,0.0,0.0,0.0,1.0
1946-10-03,1946.0,10.0,3.0,70.6,67.0,1014.2,7.6,11.6,19.0,79.3,65.3,1.0,1.0,0.0,0.0,0.0,1.0
1946-10-04,1946.0,10.0,4.0,76.7,73.3,1012.8,9.7,16.5,22.9,81.3,74.3,0.0,1.0,0.0,0.0,0.0,0.0
1946-10-05,1946.0,10.0,5.0,75.7,71.3,1013.6,10.4,14.4,22.9,81.3,70.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-10-06,1946.0,10.0,6.0,76.0,70.9,1016.3,10.1,11.7,16.9,82.4,72.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-10-07,1946.0,10.0,7.0,74.0,65.3,1013.3,8.9,5.6,8.9,84.4,65.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-10-08,1946.0,10.0,8.0,72.3,60.8,1009.9,9.4,4.8,8.0,84.4,61.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-10-09,1946.0,10.0,9.0,72.8,66.4,1009.6,8.7,4.2,7.0,79.3,68.4,0.0,1.0,0.0,0.0,0.0,1.0
1946-10-10,1946.0,10.0,10.0,76.8,71.2,1007.5,9.5,8.1,15.9,89.2,69.3,1.0,1.0,0.0,0.0,0.0,1.0
1946-10-11,1946.0,10.0,11.0,68.9,62.1,1011.7,11.8,13.1,20.0,80.2,58.3,0.0,1.0,0.0,0.0,0.0,0.0
1946-10-12,1946.0,10.0,12.0,57.8,41.3,1021.4,13.6,8.8,12.0,68.4,46.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-10-13,1946.0,10.0,13.0,58.9,47.3,1021.0,12.0,8.4,12.0,74.3,47.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-10-14,1946.0,10.0,14.0,65.6,56.5,1020.6,9.0,9.1,15.0,73.4,60.3,0.0,1.0,0.0,0.0,0.0,1.0
1946-10-15,1946.0,10.0,15.0,67.3,63.7,1020.6,7.3,9.3,15.9,72.3,63.3,1.0,1.0,0.0,0.0,0.0,1.0
1946-10-16,1946.0,10.0,16.0,70.3,68.4,1019.2,7.0,7.7,12.0,76.3,66.4,1.0,1.0,0.0,0.0,0.0,0.0
1946-10-17,1946.0,10.0,17.0,74.6,70.3,1014.2,7.7,7.4,15.9,85.3,67.3,1.0,0.0,0.0,0.0,0.0,0.0
1946-10-18,1946.0,10.0,18.0,76.6,71.3,1012.0,10.5,7.1,13.0,87.3,70.3,1.0,0.0,0.0,0.0,0.0,1.0
1946-10-19,1946.0,10.0,19.0,76.6,71.8,1015.7,8.1,7.2,15.9,87.3,68.4,1.0,1.0,0.0,0.0,0.0,0.0
1946-10-20,1946.0,10.0,20.0,75.7,72.0,1020.0,6.9,5.2,8.0,83.3,70.3,1.0,0.0,0.0,0.0,0.0,0.0
1946-10-21,1946.0,10.0,21.0,70.3,66.1,1021.7,7.7,7.5,12.0,79.3,63.3,1.0,0.0,0.0,0.0,0.0,0.0
1946-10-22,1946.0,10.0,22.0,72.0,66.9,1020.7,7.8,6.7,12.0,82.4,61.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-10-23,1946.0,10.0,23.0,73.1,69.9,1018.4,5.6,7.9,15.9,83.3,66.4,1.0,0.0,0.0,0.0,0.0,0.0
1946-10-24,1946.0,10.0,24.0,77.6,71.7,1013.5,9.2,10.6,19.0,86.4,70.3,1.0,0.0,0.0,0.0,0.0,1.0
1946-10-25,1946.0,10.0,25.0,71.3,63.1,1009.9,12.3,8.7,15.9,79.3,62.4,0.0,1.0,0.0,0.0,1.0,0.0
1946-10-26,1946.0,10.0,26.0,66.0,57.3,1012.4,12.8,7.2,12.0,77.4,54.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-10-27,1946.0,10.0,27.0,69.7,64.5,1016.0,10.0,7.1,14.0,81.3,62.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-10-28,1946.0,10.0,28.0,74.2,70.5,1020.1,8.8,8.0,15.0,83.3,68.4,1.0,0.0,0.0,0.0,0.0,1.0
1946-10-29,1946.0,10.0,29.0,74.7,71.2,1020.0,7.9,8.5,15.9,83.3,68.4,0.0,1.0,0.0,0.0,0.0,0.0
1946-10-30,1946.0,10.0,30.0,76.3,71.0,1018.3,9.2,9.7,15.9,84.4,69.3,1.0,0.0,0.0,0.0,0.0,0.0
1946-10-31,1946.0,10.0,31.0,74.9,70.5,1016.8,5.9,9.7,15.9,82.4,70.3,1.0,0.0,0.0,0.0,0.0,0.0
1946-11-01,1946.0,11.0,1.0,76.1,70.5,1012.6,8.2,9.3,19.0,85.3,70.3,1.0,0.0,0.0,0.0,0.0,1.0
1946-11-02,1946.0,11.0,2.0,75.6,70.5,1006.5,8.7,12.7,23.9,84.4,70.3,1.0,1.0,0.0,0.0,0.0,1.0
1946-11-03,1946.0,11.0,3.0,77.1,71.9,1006.6,9.5,14.1,28.0,83.3,72.3,1.0,1.0,0.0,0.0,0.0,1.0
1946-11-04,1946.0,11.0,4.0,70.0,69.0,1012.7,6.4,14.1,30.9,77.4,63.3,1.0,1.0,0.0,0.0,1.0,1.0
1946-11-05,1946.0,11.0,5.0,72.7,72.0,1016.6,4.2,6.5,13.0,74.3,68.4,1.0,1.0,0.0,0.0,1.0,1.0
1946-11-06,1946.0,11.0,6.0,67.6,64.9,1014.8,9.5,10.8,16.9,74.3,59.4,1.0,1.0,0.0,0.0,0.0,0.0
1946-11-07,1946.0,11.0,7.0,61.6,52.1,1015.5,13.0,6.6,12.0,75.4,49.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-11-08,1946.0,11.0,8.0,63.6,55.5,1014.6,10.9,5.8,14.0,74.3,52.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-11-09,1946.0,11.0,9.0,75.4,72.0,1009.4,11.1,14.0,28.0,83.3,68.4,1.0,1.0,0.0,0.0,0.0,1.0
1946-11-10,1946.0,11.0,10.0,69.6,68.2,1007.0,9.7,12.1,23.9,77.4,58.3,0.0,1.0,0.0,0.0,1.0,0.0
1946-11-11,1946.0,11.0,11.0,55.4,47.5,1018.6,13.8,9.3,14.0,66.4,46.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-11-12,1946.0,11.0,12.0,56.6,45.4,1025.5,11.6,9.6,15.9,66.4,49.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-11-13,1946.0,11.0,13.0,57.5,46.9,1026.4,10.6,7.8,12.0,65.3,52.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-11-14,1946.0,11.0,14.0,58.0,48.2,1022.8,10.3,8.4,14.0,67.3,50.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-11-15,1946.0,11.0,15.0,63.0,58.0,1016.2,9.8,8.8,16.9,75.4,55.4,0.0,0.0,0.0,0.0,0.0,1.0
1946-11-16,1946.0,11.0,16.0,67.1,63.8,1014.4,9.5,10.6,21.0,71.2,60.3,0.0,1.0,0.0,0.0,1.0,0.0
1946-11-17,1946.0,11.0,17.0,51.4,46.2,1026.7,11.5,12.5,15.9,59.4,46.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-11-18,1946.0,11.0,18.0,50.5,44.3,1028.4,9.6,7.7,13.0,57.4,45.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-11-19,1946.0,11.0,19.0,55.6,50.6,1023.5,6.3,4.3,9.9,63.3,51.3,1.0,1.0,0.0,0.0,0.0,0.0
1946-11-20,1946.0,11.0,20.0,58.9,55.6,1019.3,5.0,4.2,8.0,70.3,51.3,1.0,0.0,0.0,0.0,0.0,0.0
1946-11-21,1946.0,11.0,21.0,61.9,57.9,1017.5,5.5,5.8,12.0,81.3,50.4,1.0,0.0,0.0,0.0,0.0,0.0
1946-11-22,1946.0,11.0,22.0,64.9,61.3,1024.0,4.7,6.9,9.9,72.3,60.3,1.0,0.0,0.0,0.0,0.0,0.0
1946-11-23,1946.0,11.0,23.0,57.9,51.8,1025.3,9.4,7.6,14.0,70.3,47.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-11-24,1946.0,11.0,24.0,62.3,57.1,1014.1,8.8,11.2,21.0,79.3,51.3,0.0,0.0,0.0,0.0,0.0,1.0
1946-11-25,1946.0,11.0,25.0,71.0,66.3,1008.2,7.8,11.6,19.0,79.3,63.3,0.0,1.0,0.0,0.0,0.0,1.0
1946-11-26,1946.0,11.0,26.0,49.1,47.0,1014.7,8.9,13.9,21.0,74.3,43.3,0.0,1.0,0.0,0.0,0.0,1.0
1946-11-27,1946.0,11.0,27.0,48.8,46.7,1021.3,5.6,8.7,14.0,52.3,46.4,1.0,1.0,0.0,0.0,0.0,1.0
1946-11-28,1946.0,11.0,28.0,52.4,46.6,1022.3,8.1,9.8,15.9,59.4,49.3,0.0,1.0,0.0,0.0,0.0,1.0
1946-11-29,1946.0,11.0,29.0,62.4,58.5,1019.0,6.9,9.5,14.0,73.4,57.4,1.0,1.0,0.0,0.0,0.0,0.0
1946-11-30,1946.0,11.0,30.0,68.0,62.3,1017.5,8.7,6.9,12.0,77.4,60.3,1.0,0.0,0.0,0.0,0.0,0.0
1946-12-01,1946.0,12.0,1.0,67.5,61.2,1020.0,10.1,9.8,16.9,74.3,62.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-12-02,1946.0,12.0,2.0,53.5,40.1,1028.6,11.7,12.3,16.9,65.3,43.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-12-03,1946.0,12.0,3.0,50.8,37.8,1029.3,8.0,6.1,9.9,67.3,40.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-12-04,1946.0,12.0,4.0,54.0,41.3,1030.7,8.5,4.7,11.1,66.4,42.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-12-05,1946.0,12.0,5.0,55.7,46.9,1027.6,11.6,5.6,9.9,74.3,43.3,0.0,0.0,0.0,0.0,0.0,0.0
1946-12-06,1946.0,12.0,6.0,60.7,53.6,1022.8,12.4,7.7,9.9,73.4,50.4,0.0,0.0,0.0,0.0,0.0,0.0
1946-12-07,1946.0,12.0,7.0,63.9,56.5,1020.4,10.2,11.0,19.0,76.3,54.3,1.0,0.0,0.0,0.0,0.0,1.0
1946-12-08,1946.0,12.0,8.0,64.7,60.3,1019.9,8.6,10.7,19.0,77.4,56.3,0.0,1.0,0.0,0.0,0.0,1.0
1946-12-09,1946.0,12.0,9.0,69.4,67.4,1020.0,6.8,8.2,15.9,74.3,65.3,0.0,1.0,0.0,0.0,0.0,1.0
1946-12-10,1946.0,12.0,10.0,67.3,66.3,1017.7,5.3,6.8,13.0,69.3,64.4,1.0,1.0,0.0,0.0,0.0,0.0
1946-12-11,1946.0,12.0,11.0,68.7,65.7,1010.9,7.7,12.5,18.1,74.3,65.3,1.0,0.0,0.0,0.0,0.0,1.0
1946-12-12,1946.0,12.0,12.0,63.6,60.4,1006.9,9.2,7.1,14.0,70.3,58.3,1.0,1.0,0.0,0.0,0.0,0.0
1946-12-13,1946.0,12.0,13.0,60.6,54.1,1013.1,9.7,5.4,11.1,71.2,50.4,0.0,0.0,0.0,0.0,0.0,0.0
